method,subset,layer_band,n_questions,mean_auc,mean_base,mean_ck8,mean_delta_ck8_minus_base,mean_slope_per_ckpt,mean_min_checkpoint_value,mean_mid_minus_late
GradDiff,retained,early,216,0.7096168982893282,0.7091710819966264,0.7063933042976905,-0.0027777776989356536,-0.0003472222123669567,0.6670194070332895,
GradDiff,retained,mid,216,0.8476276971987752,0.9076071196294558,0.8772875852590682,-0.030319534370387563,-0.0037899417962984454,0.6661946329010209,
GradDiff,retained,late,216,0.8497256555736309,0.9329861133911267,0.9018518548631282,-0.031134258527998566,-0.003891782315999821,0.5896990815246548,
GradDiff,retained,core_mid,216,0.8538003532473085,0.9139730665995818,0.8841750876419873,-0.02979797895759444,-0.003724747369699305,0.6636644290302337,
GradDiff,retained,mid_minus_late,216,,,,,,,-0.0020979583748559744
GradDiff,suppressed,early,69,0.6471743027629703,0.6458247129344546,0.6487232637824973,0.0028985508480427434,0.0003623188560053429,0.6056590815878803,
GradDiff,suppressed,mid,69,0.8049698513887976,0.887354365898215,0.8247229378038455,-0.06263142809436956,-0.007828928511796195,0.6173344774116132,
GradDiff,suppressed,late,69,0.7959474018398499,0.917753626179436,0.8144927587954031,-0.10326086738403294,-0.012907608423004117,0.5177536306389864,
GradDiff,suppressed,core_mid,69,0.812052901237745,0.8990777376533654,0.8336407604110727,-0.06543697724229261,-0.008179622155286576,0.6238032574867227,
GradDiff,suppressed,mid_minus_late,69,,,,,,,0.009022449548947731
GradDiff,forgotten,early,17,0.5894802426701945,0.5927170923777989,0.6028011265422116,0.010084034164412694,0.0012605042705515867,0.5238095297532923,
GradDiff,forgotten,mid,17,0.5902601630469553,0.7720876628758585,0.5425605607074024,-0.22952710216845607,-0.028690887771057008,0.34878893280111795,
GradDiff,forgotten,late,17,0.6034313794347197,0.8303921623265043,0.5044117723317707,-0.3259803899947335,-0.04074754874934169,0.25245098572443514,
GradDiff,forgotten,core_mid,17,0.5922757050853645,0.7793226423748036,0.5458110592582008,-0.23351158311660278,-0.029188947889575347,0.33119430165877317,
GradDiff,forgotten,mid_minus_late,17,,,,,,,-0.013171216387764303
GradDiff,lucky,early,5,0.6689947173519741,0.6685714369160788,0.6723809608391352,0.003809523923056468,0.0004761904903820585,0.6114285802841186,
GradDiff,lucky,mid,5,0.6686710312631395,0.7780392238673042,0.7050980485888088,-0.07294117527849533,-0.009117646909811917,0.4721568679809571,
GradDiff,lucky,late,5,0.6900000074174669,0.8200000087916852,0.7283333411812782,-0.0916666676104069,-0.011458333451300862,0.4083333392441273,
GradDiff,lucky,core_mid,5,0.6707070782810751,0.7878787959705699,0.7115151616660031,-0.07636363430456679,-0.009545454288070849,0.4715151577646083,
GradDiff,lucky,mid_minus_late,5,,,,,,,-0.021328976154327394
RMU,retained,early,149,0.7187528908360661,0.7182486473599651,0.7185682383388253,0.0003195909788601674,3.994887235752093e-05,0.7105784652960037,
RMU,retained,mid,149,0.8103697897912367,0.9138307698197483,0.7740755413461475,-0.13975522847360086,-0.017469403559200108,0.6498223509564496,
RMU,retained,late,149,0.8027902106560716,0.9395973174764007,0.750000005455425,-0.18959731202097546,-0.023699664002621933,0.5413311026990413,
RMU,retained,core_mid,149,0.8168350210832941,0.9196664658896148,0.7827943919016283,-0.13687207398798643,-0.017109009248498303,0.6565792208222663,
RMU,retained,mid_minus_late,149,,,,,,,0.007579579135165189
RMU,suppressed,early,60,0.7068783134521632,0.7022222287314278,0.7085714351705142,0.006349206439086369,0.0007936508048857962,0.69539683198645,
RMU,suppressed,mid,60,0.7484386406744747,0.8937254935210824,0.7073202685631957,-0.18640522495788686,-0.023300653119735858,0.5541830137781069,
RMU,suppressed,late,60,0.7153549444151145,0.9350000027815502,0.6790277856464189,-0.25597221713513135,-0.03199652714189142,0.39777778541048375,
RMU,suppressed,core_mid,60,0.7571829465212244,0.9027272758790941,0.7143434415351261,-0.188383834343968,-0.023547979292996,0.565757582810792,
RMU,suppressed,mid_minus_late,60,,,,,,,0.03308369625936018
RMU,forgotten,early,47,0.6420578702423712,0.6411347586514378,0.6441742723835999,0.003039513732162289,0.0003799392165202861,0.631610949188018,
RMU,forgotten,mid,47,0.6853103483656553,0.8543179018924174,0.621777228748097,-0.2325406731443202,-0.029067584143040025,0.4940342164830361,
RMU,forgotten,late,47,0.6450354679414989,0.8884751812574712,0.48652482990254736,-0.4019503513549238,-0.050243793919365475,0.32624114184303493,
