method,subset,layer_band,question_idx,auc,base,ck8,delta_ck8_minus_base,slope_per_ckpt,min_checkpoint_value
GradDiff,retained,early,3,0.25608466229741533,0.21904762472425188,0.27619048357009884,0.05714285884584697,0.007142857355730871,0.20952381491661073
GradDiff,retained,early,26,0.6243386370795114,0.5523809645857131,0.6761904895305634,0.12380952494485031,0.01547619061810629,0.5523809645857131
GradDiff,retained,early,34,0.2444444513510144,0.23809524519102915,0.21904762472425188,-0.01904762046677727,-0.002380952558347159,0.21904762472425188
GradDiff,retained,early,39,0.8010582093208556,0.7523809611797333,0.7809523897511619,0.02857142857142858,0.0035714285714285726,0.7523809611797333
GradDiff,retained,early,41,0.824338630078331,0.7904761961528234,0.8571428631033217,0.06666666695049828,0.008333333368812285,0.7619047675813947
GradDiff,retained,early,57,0.5798941914051299,0.5904762004102979,0.600000011069434,0.0095238106591361,0.0011904763323920126,0.5428571547780718
GradDiff,retained,early,59,0.29523810091472813,0.3619047675813948,0.2380952434880393,-0.1238095240933555,-0.015476190511669437,0.22857143453189308
GradDiff,retained,early,63,0.8984127017240675,0.9047619078840529,0.8952380980764116,-0.009523809807641226,-0.0011904762259551532,0.8476190524441856
GradDiff,retained,early,67,0.7693121775748238,0.8000000076634544,0.7523809611797333,-0.04761904648372106,-0.005952380810465133,0.7142857236521584
GradDiff,retained,early,68,0.6412698492171272,0.6190476264272418,0.6476190558501652,0.028571429422923456,0.003571428677865432,0.6000000068119594
GradDiff,retained,early,74,0.8169312268968613,0.800000011920929,0.8000000110694341,-8.514948746096707e-10,-1.0643685932620883e-10,0.7809523923056466
GradDiff,retained,early,90,0.7216931291988916,0.7714285773890358,0.7142857228006635,-0.057142854588372316,-0.0071428568235465395,0.6857142942292349
GradDiff,retained,early,95,0.1915343963910663,0.2380952434880393,0.1619047658784049,-0.07619047760963438,-0.009523809701204297,0.1333333364554814
GradDiff,retained,early,105,0.2349206419218154,0.18095238634518215,0.26666667461395266,0.0857142882687705,0.010714286033596313,0.18095238634518215
GradDiff,retained,early,145,0.171428576537541,0.114285717691694,0.17142857653754096,0.05714285884584695,0.007142857355730869,0.114285717691694
GradDiff,retained,early,161,0.5047619126145801,0.6571428631033216,0.48571429337774,-0.17142856972558157,-0.021428571215697696,0.4380952460425241
GradDiff,retained,early,162,0.5523809632611654,0.5238095351627895,0.5904762004102979,0.06666666524750842,0.008333333155938552,0.5142857245036534
GradDiff,retained,early,167,0.8634920704932441,0.876190482718604,0.8666666729109628,-0.009523809807641226,-0.0011904762259551532,0.8190476289817266
GradDiff,retained,early,174,0.9269841300116646,0.9047619078840529,0.9428571454116277,0.03809523752757482,0.004761904690946853,0.8952380989279066
GradDiff,retained,early,191,0.4539682577526759,0.5238095292023249,0.3333333373069763,-0.19047619189534865,-0.02380952398691858,0.3333333373069763
GradDiff,retained,early,200,0.7566137642141372,0.7047619146960123,0.7142857219491686,0.009523807253156269,0.0011904759066445336,0.7047619146960123
GradDiff,retained,early,216,0.9312169353167216,0.9238095283508301,0.9333333373069763,0.00952380895614624,0.00119047611951828,0.9238095283508301
GradDiff,retained,early,247,0.714285720813842,0.7428571505205971,0.6857142899717603,-0.05714286054883677,-0.007142857568604596,0.6857142899717603
GradDiff,retained,early,256,0.4645502729075295,0.4095238166196006,0.4761904844215938,0.0666666678019932,0.00833333347524915,0.4000000085149492
GradDiff,retained,early,308,0.6888889011882602,0.7047619155475072,0.6571428699152811,-0.047619045632226076,-0.0059523807040282595,0.6571428699152811
GradDiff,retained,early,314,0.8846560882197486,0.8952380980764116,0.8571428614003318,-0.038095236676079836,-0.0047619045845099794,0.8571428614003318
GradDiff,retained,early,329,0.6571428701045021,0.7142857279096331,0.6952381074428559,-0.019047620466777215,-0.002380952558347152,0.5904762029647826
GradDiff,retained,early,333,0.47619048413776216,0.40952381917408537,0.46666667376245774,0.05714285458837237,0.0071428568235465464,0.40952381917408537
GradDiff,retained,early,335,0.5873015938297151,0.6476190541471754,0.5619047684328897,-0.08571428571428563,-0.010714285714285704,0.4857142916747502
GradDiff,retained,early,338,0.7322751421777031,0.7714285790920258,0.742857153075082,-0.028571426016943735,-0.003571428252117967,0.7142857245036535
GradDiff,retained,early,339,0.5566137591997783,0.5428571454116277,0.6285714302744184,0.08571428486279076,0.010714285607848845,0.466666670356478
GradDiff,retained,early,345,0.6931217011005159,0.68571429337774,0.6857142950807299,1.7029898602416438e-09,2.1287373253020547e-10,0.6190476281302316
GradDiff,retained,early,348,0.6190476246296412,0.5523809594767435,0.6095238149166108,0.0571428554398673,0.007142856929983413,0.5523809594767435
GradDiff,retained,early,349,0.36719577511151624,0.45714286736079623,0.31428572109767366,-0.14285714626312257,-0.01785714328289032,0.31428572109767366
GradDiff,retained,early,351,0.9640211658818382,0.9904761910438538,0.9238095266478402,-0.06666666439601354,-0.008333333049501693,0.9238095266478402
GradDiff,retained,early,353,1.0,1.0,1.0,0.0,0.0,1.0
GradDiff,retained,early,355,0.8962963000176445,0.8952380989279066,0.9047619078840529,0.00952380895614624,0.00119047611951828,0.8666666720594679
GradDiff,retained,early,362,0.535449742892432,0.5619047701358796,0.5238095317568098,-0.03809523837906981,-0.004761904797383726,0.5142857210976737
GradDiff,retained,early,364,0.7608465677215939,0.7904761953013283,0.7238095317568097,-0.06666666354451856,-0.00833333294306482,0.7238095317568097
GradDiff,retained,early,366,1.0,1.0,1.0,0.0,0.0,1.0
GradDiff,retained,early,372,0.9460317483970098,0.9523809543677739,0.9428571454116277,-0.00952380895614624,-0.00119047611951828,0.9333333356039865
GradDiff,retained,early,373,0.9703703711903285,0.9428571437086378,0.9619047633239202,0.01904761961528234,0.0023809524519102926,0.9428571437086378
GradDiff,retained,early,375,0.9862433868741233,0.9809523820877075,1.0,0.01904761791229248,0.00238095223903656,0.9714285722800664
GradDiff,retained,early,397,0.32275133180239846,0.3047619129930224,0.3142857236521585,0.0095238106591361,0.0011904763323920126,0.3047619129930224
GradDiff,retained,early,399,0.5470899547849384,0.5523809611797332,0.5619047667298999,0.00952380555016663,0.0011904756937708288,0.5047619155475072
GradDiff,retained,early,407,0.8211640258630118,0.8000000051089696,0.8476190507411957,0.047619045632226076,0.0059523807040282595,0.7904761953013283
GradDiff,retained,early,414,0.841269849500959,0.8952381014823914,0.8666666737624578,-0.028571427719933595,-0.0035714284649916994,0.7714285807950156
GradDiff,retained,early,422,0.5333333431728302,0.5523809628827231,0.6190476298332214,0.06666666695049828,0.008333333368812285,0.4571428648063115
GradDiff,retained,early,436,0.7830687892815423,0.819047624724252,0.7428571496691022,-0.07619047505514975,-0.00952380938189372,0.7333333398614611
GradDiff,retained,early,452,0.7735449809876701,0.7809523871966771,0.8000000068119595,0.01904761961528234,0.0023809524519102926,0.7238095334597997
GradDiff,retained,early,462,0.7735449812715015,0.7714285807950156,0.7428571496691022,-0.028571431125913427,-0.0035714288907391784,0.7428571496691022
GradDiff,retained,early,481,0.7555555642597258,0.6666666754654476,0.7428571513720922,0.07619047590664463,0.009523809488330578,0.6666666754654476
GradDiff,retained,early,497,0.28042328717216614,0.25714286310332163,0.22857143538338795,-0.02857142771993368,-0.00357142846499171,0.22857143538338795
GradDiff,retained,early,519,0.4783068895339966,0.4666666771684374,0.48571429678371975,0.01904761961528234,0.0023809524519102926,0.4285714396408626
GradDiff,retained,early,545,0.6751322817234766,0.5904761978558132,0.7333333398614611,0.14285714200564792,0.01785714275070599,0.5904761978558132
GradDiff,retained,early,554,0.7005291096747868,0.638095246894019,0.7619047701358795,0.12380952324186056,0.01547619040523257,0.6190476289817265
GradDiff,retained,early,555,0.9248677292513469,0.9047619095870427,0.9238095283508301,0.019047618763787355,0.0023809523454734194,0.9047619095870427
GradDiff,retained,early,559,0.6243386290376148,0.6380952426365444,0.5904761961528233,-0.04761904648372106,-0.005952380810465133,0.5904761961528233
GradDiff,retained,early,570,0.6169312263291978,0.6476190567016601,0.6666666754654476,0.019047618763787466,0.0023809523454734333,0.5333333432674408
GradDiff,retained,early,576,0.896296300112255,0.9047619078840529,0.8952380980764116,-0.009523809807641226,-0.0011904762259551532,0.8666666720594679
GradDiff,retained,early,577,0.5417989491470276,0.5142857228006635,0.5809523880481721,0.06666666524750853,0.008333333155938566,0.45714286565780643
GradDiff,retained,early,587,0.716402120249612,0.714285717691694,0.7428571462631225,0.02857142857142847,0.0035714285714285587,0.6952380997794015
GradDiff,retained,early,594,0.27619048319165673,0.23809524433953425,0.2476190541471754,0.009523809807641143,0.0011904762259551428,0.21904762472425188
GradDiff,retained,early,600,0.9449735471180508,0.9809523820877075,0.9238095266478402,-0.0571428554398673,-0.007142856929983413,0.9238095266478402
GradDiff,retained,early,604,0.4095238188902537,0.4095238183225904,0.4285714379378728,0.019047619615282396,0.0023809524519102995,0.3238095326083047
GradDiff,retained,early,605,0.8687830742389436,0.8476190541471754,0.8571428631033217,0.00952380895614624,0.00119047611951828,0.8476190541471754
GradDiff,retained,early,617,0.9693121702898116,0.9714285722800664,0.9714285722800664,0.0,0.0,0.9619047633239202
GradDiff,retained,early,622,0.5597883739168682,0.561904776096344,0.5714285859039852,0.009523809807641115,0.0011904762259551394,0.5428571564810617
GradDiff,retained,early,624,0.7587301642175703,0.7428571496691022,0.7904761953013283,0.047619045632226076,0.0059523807040282595,0.7142857210976736
GradDiff,retained,early,628,0.9174603198255811,0.9142857168401991,0.9428571437086378,0.02857142686843872,0.00357142835855484,0.8952380989279066
GradDiff,retained,early,633,0.9936507939346253,0.9904761910438538,1.0,0.00952380895614624,0.00119047611951828,0.9809523812362126
GradDiff,retained,early,638,0.8042328108870794,0.819047624724252,0.8380952434880393,0.019047618763787355,0.0023809523454734194,0.7142857236521584
GradDiff,retained,early,642,0.8571428639548166,0.8952381006308965,0.8666666720594679,-0.02857142857142858,-0.0035714285714285726,0.8190476281302316
GradDiff,retained,early,645,0.8740740779846434,0.8666666712079729,0.8761904801641192,0.00952380895614624,0.00119047611951828,0.8476190524441856
