method,subset,layer_band,quadrant,count,fraction
ELM,forgotten,full,frozen_high_retrained_high,14,0.1590909090909091
ELM,forgotten,full,frozen_high_retrained_low,5,0.056818181818181816
ELM,forgotten,full,frozen_low_retrained_high,36,0.4090909090909091
ELM,forgotten,full,frozen_low_retrained_low,33,0.375
ELM,forgotten,late,frozen_high_retrained_high,14,0.1590909090909091
ELM,forgotten,late,frozen_high_retrained_low,5,0.056818181818181816
ELM,forgotten,late,frozen_low_retrained_high,28,0.3181818181818182
ELM,forgotten,late,frozen_low_retrained_low,41,0.4659090909090909
ELM,forgotten,mid,frozen_high_retrained_high,12,0.13636363636363635
ELM,forgotten,mid,frozen_high_retrained_low,7,0.07954545454545454
ELM,forgotten,mid,frozen_low_retrained_high,32,0.36363636363636365
ELM,forgotten,mid,frozen_low_retrained_low,37,0.42045454545454547
ELM,lucky,full,frozen_high_retrained_high,20,0.23255813953488372
ELM,lucky,full,frozen_high_retrained_low,8,0.09302325581395349
ELM,lucky,full,frozen_low_retrained_high,23,0.26744186046511625
ELM,lucky,full,frozen_low_retrained_low,35,0.4069767441860465
ELM,lucky,late,frozen_high_retrained_high,17,0.19767441860465115
ELM,lucky,late,frozen_high_retrained_low,11,0.12790697674418605
ELM,lucky,late,frozen_low_retrained_high,20,0.23255813953488372
ELM,lucky,late,frozen_low_retrained_low,38,0.4418604651162791
ELM,lucky,mid,frozen_high_retrained_high,23,0.26744186046511625
ELM,lucky,mid,frozen_high_retrained_low,5,0.05813953488372093
ELM,lucky,mid,frozen_low_retrained_high,23,0.26744186046511625
ELM,lucky,mid,frozen_low_retrained_low,35,0.4069767441860465
ELM,retained,full,frozen_high_retrained_high,202,0.8178137651821862
ELM,retained,full,frozen_high_retrained_low,23,0.0931174089068826
ELM,retained,full,frozen_low_retrained_high,13,0.05263157894736842
ELM,retained,full,frozen_low_retrained_low,9,0.03643724696356275
ELM,retained,late,frozen_high_retrained_high,184,0.7449392712550608
ELM,retained,late,frozen_high_retrained_low,41,0.1659919028340081
ELM,retained,late,frozen_low_retrained_high,14,0.05668016194331984
ELM,retained,late,frozen_low_retrained_low,8,0.032388663967611336
ELM,retained,mid,frozen_high_retrained_high,201,0.8137651821862348
ELM,retained,mid,frozen_high_retrained_low,24,0.09716599190283401
ELM,retained,mid,frozen_low_retrained_high,12,0.048582995951417005
ELM,retained,mid,frozen_low_retrained_low,10,0.04048582995951417
ELM,suppressed,full,frozen_high_retrained_high,104,0.6842105263157895
ELM,suppressed,full,frozen_high_retrained_low,26,0.17105263157894737
ELM,suppressed,full,frozen_low_retrained_high,10,0.06578947368421052
ELM,suppressed,full,frozen_low_retrained_low,12,0.07894736842105263
ELM,suppressed,late,frozen_high_retrained_high,105,0.6907894736842105
ELM,suppressed,late,frozen_high_retrained_low,25,0.16447368421052633
ELM,suppressed,late,frozen_low_retrained_high,13,0.08552631578947369
ELM,suppressed,late,frozen_low_retrained_low,9,0.05921052631578947
ELM,suppressed,mid,frozen_high_retrained_high,108,0.7105263157894737
ELM,suppressed,mid,frozen_high_retrained_low,22,0.14473684210526316
ELM,suppressed,mid,frozen_low_retrained_high,15,0.09868421052631579
ELM,suppressed,mid,frozen_low_retrained_low,7,0.046052631578947366
GradDiff,forgotten,full,frozen_high_retrained_high,8,0.10126582278481013
GradDiff,forgotten,full,frozen_high_retrained_low,8,0.10126582278481013
GradDiff,forgotten,full,frozen_low_retrained_high,23,0.2911392405063291
GradDiff,forgotten,full,frozen_low_retrained_low,40,0.5063291139240507
GradDiff,forgotten,late,frozen_high_retrained_high,8,0.10126582278481013
GradDiff,forgotten,late,frozen_high_retrained_low,8,0.10126582278481013
GradDiff,forgotten,late,frozen_low_retrained_high,19,0.24050632911392406
GradDiff,forgotten,late,frozen_low_retrained_low,44,0.5569620253164557
GradDiff,forgotten,mid,frozen_high_retrained_high,8,0.10126582278481013
GradDiff,forgotten,mid,frozen_high_retrained_low,8,0.10126582278481013
GradDiff,forgotten,mid,frozen_low_retrained_high,22,0.27848101265822783
GradDiff,forgotten,mid,frozen_low_retrained_low,41,0.5189873417721519
GradDiff,lucky,full,frozen_high_retrained_high,20,0.35714285714285715
GradDiff,lucky,full,frozen_high_retrained_low,11,0.19642857142857142
GradDiff,lucky,full,frozen_low_retrained_high,11,0.19642857142857142
GradDiff,lucky,full,frozen_low_retrained_low,14,0.25
GradDiff,lucky,late,frozen_high_retrained_high,20,0.35714285714285715
GradDiff,lucky,late,frozen_high_retrained_low,11,0.19642857142857142
GradDiff,lucky,late,frozen_low_retrained_high,9,0.16071428571428573
GradDiff,lucky,late,frozen_low_retrained_low,16,0.2857142857142857
GradDiff,lucky,mid,frozen_high_retrained_high,20,0.35714285714285715
GradDiff,lucky,mid,frozen_high_retrained_low,11,0.19642857142857142
GradDiff,lucky,mid,frozen_low_retrained_high,14,0.25
GradDiff,lucky,mid,frozen_low_retrained_low,11,0.19642857142857142
GradDiff,retained,full,frozen_high_retrained_high,266,0.8580645161290322
GradDiff,retained,full,frozen_high_retrained_low,21,0.06774193548387097
GradDiff,retained,full,frozen_low_retrained_high,15,0.04838709677419355
GradDiff,retained,full,frozen_low_retrained_low,8,0.025806451612903226
GradDiff,retained,late,frozen_high_retrained_high,262,0.8451612903225807
GradDiff,retained,late,frozen_high_retrained_low,25,0.08064516129032258
GradDiff,retained,late,frozen_low_retrained_high,16,0.05161290322580645
GradDiff,retained,late,frozen_low_retrained_low,7,0.02258064516129032
GradDiff,retained,mid,frozen_high_retrained_high,265,0.8548387096774194
GradDiff,retained,mid,frozen_high_retrained_low,22,0.07096774193548387
GradDiff,retained,mid,frozen_low_retrained_high,15,0.04838709677419355
GradDiff,retained,mid,frozen_low_retrained_low,8,0.025806451612903226
GradDiff,suppressed,full,frozen_high_retrained_high,86,0.671875
GradDiff,suppressed,full,frozen_high_retrained_low,18,0.140625
GradDiff,suppressed,full,frozen_low_retrained_high,18,0.140625
GradDiff,suppressed,full,frozen_low_retrained_low,6,0.046875
GradDiff,suppressed,late,frozen_high_retrained_high,90,0.703125
GradDiff,suppressed,late,frozen_high_retrained_low,14,0.109375
GradDiff,suppressed,late,frozen_low_retrained_high,15,0.1171875
GradDiff,suppressed,late,frozen_low_retrained_low,9,0.0703125
GradDiff,suppressed,mid,frozen_high_retrained_high,89,0.6953125
GradDiff,suppressed,mid,frozen_high_retrained_low,15,0.1171875
GradDiff,suppressed,mid,frozen_low_retrained_high,17,0.1328125
GradDiff,suppressed,mid,frozen_low_retrained_low,7,0.0546875
PB_J,forgotten,full,frozen_high_retrained_high,26,0.2
PB_J,forgotten,full,frozen_high_retrained_low,4,0.03076923076923077
PB_J,forgotten,full,frozen_low_retrained_high,22,0.16923076923076924
PB_J,forgotten,full,frozen_low_retrained_low,78,0.6
PB_J,forgotten,late,frozen_high_retrained_high,25,0.19230769230769232
PB_J,forgotten,late,frozen_high_retrained_low,5,0.038461538461538464
PB_J,forgotten,late,frozen_low_retrained_high,19,0.14615384615384616
PB_J,forgotten,late,frozen_low_retrained_low,81,0.6230769230769231
PB_J,forgotten,mid,frozen_high_retrained_high,24,0.18461538461538463
PB_J,forgotten,mid,frozen_high_retrained_low,6,0.046153846153846156
PB_J,forgotten,mid,frozen_low_retrained_high,28,0.2153846153846154
PB_J,forgotten,mid,frozen_low_retrained_low,72,0.5538461538461539
PB_J,lucky,full,frozen_high_retrained_high,16,0.1927710843373494
PB_J,lucky,full,frozen_high_retrained_low,8,0.0963855421686747
PB_J,lucky,full,frozen_low_retrained_high,26,0.3132530120481928
PB_J,lucky,full,frozen_low_retrained_low,33,0.39759036144578314
PB_J,lucky,late,frozen_high_retrained_high,15,0.18072289156626506
PB_J,lucky,late,frozen_high_retrained_low,9,0.10843373493975904
PB_J,lucky,late,frozen_low_retrained_high,21,0.25301204819277107
PB_J,lucky,late,frozen_low_retrained_low,38,0.4578313253012048
PB_J,lucky,mid,frozen_high_retrained_high,12,0.14457831325301204
PB_J,lucky,mid,frozen_high_retrained_low,12,0.14457831325301204
PB_J,lucky,mid,frozen_low_retrained_high,34,0.40963855421686746
PB_J,lucky,mid,frozen_low_retrained_low,25,0.30120481927710846
PB_J,retained,full,frozen_high_retrained_high,200,0.8130081300813008
PB_J,retained,full,frozen_high_retrained_low,23,0.09349593495934959
PB_J,retained,full,frozen_low_retrained_high,14,0.056910569105691054
PB_J,retained,full,frozen_low_retrained_low,9,0.036585365853658534
PB_J,retained,late,frozen_high_retrained_high,197,0.8008130081300813
PB_J,retained,late,frozen_high_retrained_low,26,0.10569105691056911
PB_J,retained,late,frozen_low_retrained_high,11,0.044715447154471545
PB_J,retained,late,frozen_low_retrained_low,12,0.04878048780487805
PB_J,retained,mid,frozen_high_retrained_high,199,0.8089430894308943
PB_J,retained,mid,frozen_high_retrained_low,24,0.0975609756097561
PB_J,retained,mid,frozen_low_retrained_high,12,0.04878048780487805
PB_J,retained,mid,frozen_low_retrained_low,11,0.044715447154471545
PB_J,suppressed,full,frozen_high_retrained_high,85,0.7456140350877193
PB_J,suppressed,full,frozen_high_retrained_low,8,0.07017543859649122
PB_J,suppressed,full,frozen_low_retrained_high,11,0.09649122807017543
PB_J,suppressed,full,frozen_low_retrained_low,10,0.08771929824561403
PB_J,suppressed,late,frozen_high_retrained_high,82,0.7192982456140351
PB_J,suppressed,late,frozen_high_retrained_low,11,0.09649122807017543
PB_J,suppressed,late,frozen_low_retrained_high,7,0.06140350877192982
PB_J,suppressed,late,frozen_low_retrained_low,14,0.12280701754385964
PB_J,suppressed,mid,frozen_high_retrained_high,82,0.7192982456140351
PB_J,suppressed,mid,frozen_high_retrained_low,11,0.09649122807017543
PB_J,suppressed,mid,frozen_low_retrained_high,12,0.10526315789473684
PB_J,suppressed,mid,frozen_low_retrained_low,9,0.07894736842105263
RMU-LAT,forgotten,full,frozen_high_retrained_high,17,0.1559633027522936
RMU-LAT,forgotten,full,frozen_high_retrained_low,7,0.06422018348623854
RMU-LAT,forgotten,full,frozen_low_retrained_high,36,0.3302752293577982
RMU-LAT,forgotten,full,frozen_low_retrained_low,49,0.44954128440366975
RMU-LAT,forgotten,late,frozen_high_retrained_high,15,0.13761467889908258
RMU-LAT,forgotten,late,frozen_high_retrained_low,9,0.08256880733944955
RMU-LAT,forgotten,late,frozen_low_retrained_high,32,0.29357798165137616
RMU-LAT,forgotten,late,frozen_low_retrained_low,53,0.48623853211009177
RMU-LAT,forgotten,mid,frozen_high_retrained_high,17,0.1559633027522936
RMU-LAT,forgotten,mid,frozen_high_retrained_low,7,0.06422018348623854
RMU-LAT,forgotten,mid,frozen_low_retrained_high,42,0.3853211009174312
RMU-LAT,forgotten,mid,frozen_low_retrained_low,43,0.3944954128440367
RMU-LAT,lucky,full,frozen_high_retrained_high,33,0.30275229357798167
RMU-LAT,lucky,full,frozen_high_retrained_low,13,0.11926605504587157
RMU-LAT,lucky,full,frozen_low_retrained_high,28,0.25688073394495414
RMU-LAT,lucky,full,frozen_low_retrained_low,35,0.3211009174311927
RMU-LAT,lucky,late,frozen_high_retrained_high,29,0.26605504587155965
RMU-LAT,lucky,late,frozen_high_retrained_low,17,0.1559633027522936
RMU-LAT,lucky,late,frozen_low_retrained_high,18,0.1651376146788991
RMU-LAT,lucky,late,frozen_low_retrained_low,45,0.41284403669724773
RMU-LAT,lucky,mid,frozen_high_retrained_high,30,0.27522935779816515
RMU-LAT,lucky,mid,frozen_high_retrained_low,16,0.14678899082568808
RMU-LAT,lucky,mid,frozen_low_retrained_high,24,0.22018348623853212
RMU-LAT,lucky,mid,frozen_low_retrained_low,39,0.3577981651376147
RMU-LAT,retained,full,frozen_high_retrained_high,193,0.7975206611570248
RMU-LAT,retained,full,frozen_high_retrained_low,24,0.09917355371900827
RMU-LAT,retained,full,frozen_low_retrained_high,15,0.06198347107438017
