method,subset,layer_band,n,mean_frozen_K_internal,mean_retrained_K_internal,mean_recovery_gain
ELM,forgotten,full,88,0.29166666666666663,0.5294270905539055,0.23776042388723884
ELM,forgotten,late,88,0.29166666666666663,0.5082702094971231,0.2166035428304564
ELM,forgotten,mid,88,0.29166666666666663,0.5280303099616007,0.2363636432949341
ELM,lucky,full,86,0.375968992248062,0.5032703569310523,0.12730136468299022
ELM,lucky,late,86,0.375968992248062,0.47906977552198626,0.10310078327392426
ELM,lucky,mid,86,0.375968992248062,0.5221282674255633,0.14615927517750132
ELM,retained,full,247,0.8677462887989205,0.7497638382997952,-0.11798245049912516
ELM,retained,late,247,0.8677462887989205,0.7549032894263544,-0.11284299937256595
ELM,retained,mid,247,0.8677462887989205,0.7750950857475921,-0.09265120305132828
ELM,suppressed,full,152,0.7785087719298245,0.6884320237318446,-0.09007674819797995
ELM,suppressed,late,152,0.7785087719298245,0.7016081931853765,-0.07690057874444806
ELM,suppressed,mid,152,0.7785087719298245,0.7048245677323433,-0.07368420419748128
GradDiff,forgotten,full,79,0.29535864978902954,0.44936709593085544,0.15400844614182596
GradDiff,forgotten,late,79,0.29535864978902954,0.4182137908563332,0.12285514106730369
GradDiff,forgotten,mid,79,0.29535864978902954,0.4571538243318454,0.16179517454281594
GradDiff,lucky,full,56,0.5297619047619048,0.54241072211215,0.012648817350245336
GradDiff,lucky,late,56,0.5297619047619048,0.5430555633224902,0.013293658560585436
GradDiff,lucky,mid,56,0.5297619047619048,0.5435065015086106,0.013744596746705853
GradDiff,retained,full,310,0.89247311827957,0.7938978546046682,-0.0985752636749017
GradDiff,retained,late,310,0.89247311827957,0.8367741981741561,-0.05569892010541372
GradDiff,retained,mid,310,0.89247311827957,0.8250439930276787,-0.06742912525189121
GradDiff,suppressed,full,128,0.7526041666666666,0.7120117251834017,-0.04059244148326493
GradDiff,suppressed,late,128,0.7526041666666666,0.7291666733295036,-0.02343749333716307
GradDiff,suppressed,mid,128,0.7526041666666666,0.7410511425145987,-0.011553024152068011
PB_J,forgotten,full,130,0.2692307692307692,0.4613942376997035,0.1921634684689343
PB_J,forgotten,late,130,0.2692307692307692,0.4020940239460041,0.13286325471523483
