method,subset_ck8,question_idx,internal_external_best_wrong_agreement_ck8,external_best_wrong_stability_base_to_ck8,internal_best_wrong_stability_base_to_ck8
ELM,forgotten,734.8846153846154,0.38461538461538464,0.15384615384615385,0.34615384615384615
ELM,lucky,541.2333333333333,0.3,0.3333333333333333,0.3
ELM,retained,721.6744186046511,0.4476744186046512,0.36046511627906974,0.46511627906976744
ELM,suppressed,769.1898734177215,0.5063291139240507,0.35443037974683544,0.4936708860759494
GradDiff,forgotten,614.0,0.5882352941176471,0.35294117647058826,0.5294117647058824
GradDiff,lucky,363.8,0.8,0.8,0.8
GradDiff,retained,733.8981481481482,0.5555555555555556,0.4212962962962963,0.5324074074074074
GradDiff,suppressed,716.7971014492754,0.4927536231884058,0.30434782608695654,0.5507246376811594
PB_J,forgotten,687.6481481481482,0.3333333333333333,0.2962962962962963,0.3333333333333333
PB_J,lucky,782.5957446808511,0.44680851063829785,0.2978723404255319,0.2765957446808511
PB_J,retained,683.083916083916,0.5874125874125874,0.5244755244755245,0.5734265734265734
PB_J,suppressed,772.0952380952381,0.38095238095238093,0.36507936507936506,0.3968253968253968
RMU-LAT,forgotten,702.95,0.4,0.35,0.325
RMU-LAT,lucky,753.4561403508771,0.3684210526315789,0.2631578947368421,0.43859649122807015
RMU-LAT,retained,718.4836601307189,0.6013071895424836,0.40522875816993464,0.49673202614379086
RMU-LAT,suppressed,688.5087719298245,0.45614035087719296,0.38596491228070173,0.3157894736842105
RR,forgotten,573.2068965517242,0.4482758620689655,0.3448275862068966,0.3448275862068966
RR,lucky,753.081081081081,0.40540540540540543,0.5675675675675675,0.5135135135135135
RR,retained,719.4742857142858,0.5257142857142857,0.49142857142857144,0.49142857142857144
RR,suppressed,755.1969696969697,0.3939393939393939,0.45454545454545453,0.3333333333333333
RepNoise,forgotten,692.1136363636364,0.4090909090909091,0.3409090909090909,0.5
RepNoise,lucky,673.3529411764706,0.3235294117647059,0.4411764705882353,0.4117647058823529
RepNoise,retained,707.9268292682926,0.5691056910569106,0.35772357723577236,0.34146341463414637
RepNoise,suppressed,752.9811320754717,0.2641509433962264,0.2358490566037736,0.5094339622641509
TAR,forgotten,716.4857142857143,0.4857142857142857,0.42857142857142855,0.42857142857142855
TAR,lucky,605.2857142857143,0.42857142857142855,0.38095238095238093,0.47619047619047616
TAR,retained,720.3212121212122,0.5212121212121212,0.4,0.49696969696969695
TAR,suppressed,739.5,0.5348837209302325,0.36046511627906974,0.47674418604651164
