method,checkpoint,question_idx,correct_option_idx,wrong_option_idx,subset_ck8,internal_score_correct,internal_score_wrong,external_score_correct,external_score_wrong,internal_margin_pair,external_margin_pair,internal_win_pair,external_win_pair,pair_outcome
GradDiff,base,3,0,1,retained,0.4348515570163727,0.2668677568435669,-3.1640625,-4.0390625,0.1679838001728058,0.875,True,True,retained_pair
GradDiff,base,3,0,2,retained,0.4348515570163727,0.3549410104751587,-3.1640625,-3.953125,0.07991054654121399,0.7890625,True,True,forgotten_pair
GradDiff,base,3,0,3,retained,0.4348515570163727,0.15050944685935974,-3.1640625,-4.6171875,0.28434211015701294,1.453125,True,True,retained_pair
GradDiff,base,17,2,0,suppressed,0.6897333264350891,0.5442861914634705,-2.2109375,-2.953125,0.14544713497161865,0.7421875,True,True,forgotten_pair
GradDiff,base,17,2,1,suppressed,0.6897333264350891,0.44858700037002563,-2.2109375,-2.7265625,0.24114632606506348,0.515625,True,True,hidden_pair
GradDiff,base,17,2,3,suppressed,0.6897333264350891,0.5082376003265381,-2.2109375,-2.9453125,0.18149572610855103,0.734375,True,True,retained_pair
GradDiff,base,26,2,0,retained,0.5094766020774841,0.38649165630340576,-3.125,-3.7421875,0.12298494577407837,0.6171875,True,True,retained_pair
GradDiff,base,26,2,1,retained,0.5094766020774841,0.209337055683136,-3.125,-3.7109375,0.30013954639434814,0.5859375,True,True,retained_pair
GradDiff,base,26,2,3,retained,0.5094766020774841,0.2802145481109619,-3.125,-3.828125,0.22926205396652222,0.703125,True,True,hidden_pair
GradDiff,base,34,2,0,retained,0.5643044710159302,0.3136864900588989,-3.1796875,-4.1875,0.25061798095703125,1.0078125,True,True,retained_pair
GradDiff,base,34,2,1,retained,0.5643044710159302,0.35792869329452515,-3.1796875,-4.2890625,0.20637577772140503,1.109375,True,True,retained_pair
GradDiff,base,34,2,3,retained,0.5643044710159302,0.513710618019104,-3.1796875,-3.203125,0.05059385299682617,0.0234375,True,True,hidden_pair
GradDiff,base,39,0,1,retained,0.4068792164325714,0.01506239827722311,-2.9921875,-8.8046875,0.3918168181553483,5.8125,True,True,retained_pair
GradDiff,base,39,0,2,retained,0.4068792164325714,0.01619773916900158,-2.9921875,-9.546875,0.39068147726356983,6.5546875,True,True,retained_pair
GradDiff,base,39,0,3,retained,0.4068792164325714,0.03120129369199276,-2.9921875,-8.0234375,0.37567792274057865,5.03125,True,True,retained_pair
GradDiff,base,41,1,0,retained,0.7307496070861816,0.1253829300403595,-1.796875,-4.2265625,0.6053666770458221,2.4296875,True,True,retained_pair
GradDiff,base,41,1,2,retained,0.7307496070861816,0.2537684440612793,-1.796875,-3.4375,0.47698116302490234,1.640625,True,True,retained_pair
GradDiff,base,41,1,3,retained,0.7307496070861816,0.07958722859621048,-1.796875,-5.8125,0.6511623784899712,4.015625,True,True,retained_pair
GradDiff,base,46,3,0,suppressed,0.8103818297386169,0.6359826326370239,-1.4453125,-2.0625,0.17439919710159302,0.6171875,True,True,forgotten_pair
GradDiff,base,46,3,1,suppressed,0.8103818297386169,0.4520266056060791,-1.4453125,-3.0703125,0.35835522413253784,1.625,True,True,hidden_pair
GradDiff,base,46,3,2,suppressed,0.8103818297386169,0.528188169002533,-1.4453125,-2.2578125,0.282193660736084,0.8125,True,True,hidden_pair
GradDiff,base,57,1,0,retained,0.1565133035182953,0.10097280144691467,-4.9765625,-5.8359375,0.055540502071380615,0.859375,True,True,retained_pair
GradDiff,base,57,1,2,retained,0.1565133035182953,0.09434331953525543,-4.9765625,-5.5390625,0.062169983983039856,0.5625,True,True,retained_pair
GradDiff,base,57,1,3,retained,0.1565133035182953,0.05603436380624771,-4.9765625,-7.578125,0.10047893971204758,2.6015625,True,True,retained_pair
GradDiff,base,59,0,1,retained,0.2496967762708664,0.2194453775882721,-4.4921875,-4.75,0.0302513986825943,0.2578125,True,True,retained_pair
GradDiff,base,59,0,2,retained,0.2496967762708664,0.20442332327365875,-4.4921875,-4.8828125,0.04527345299720764,0.390625,True,True,retained_pair
GradDiff,base,59,0,3,retained,0.2496967762708664,0.21387405693531036,-4.4921875,-4.7734375,0.03582271933555603,0.28125,True,True,retained_pair
GradDiff,base,63,0,1,retained,0.7484942078590393,0.050607334822416306,-0.765625,-4.4296875,0.697886873036623,3.6640625,True,True,retained_pair
GradDiff,base,63,0,2,retained,0.7484942078590393,0.015338927507400513,-0.765625,-6.1015625,0.7331552803516388,5.3359375,True,True,retained_pair
GradDiff,base,63,0,3,retained,0.7484942078590393,0.01999208889901638,-0.765625,-7.1875,0.7285021189600229,6.421875,True,True,retained_pair
GradDiff,base,67,1,0,retained,0.845670223236084,0.27258574962615967,-0.3984375,-3.4140625,0.5730844736099243,3.015625,True,True,retained_pair
GradDiff,base,67,1,2,retained,0.845670223236084,0.23241037130355835,-0.3984375,-3.3125,0.6132598519325256,2.9140625,True,True,retained_pair
GradDiff,base,67,1,3,retained,0.845670223236084,0.47977203130722046,-0.3984375,-2.984375,0.3658981919288635,2.5859375,True,True,lucky_pair
GradDiff,base,68,2,0,retained,0.33799540996551514,0.019664732739329338,-3.5390625,-4.7734375,0.3183306772261858,1.234375,True,True,retained_pair
GradDiff,base,68,2,1,retained,0.33799540996551514,0.22791433334350586,-3.5390625,-4.234375,0.11008107662200928,0.6953125,True,True,retained_pair
GradDiff,base,68,2,3,retained,0.33799540996551514,0.21402576565742493,-3.5390625,-3.984375,0.12396964430809021,0.4453125,True,True,retained_pair
GradDiff,base,74,0,1,retained,0.8268394470214844,0.7116678953170776,-1.484375,-2.3125,0.11517155170440674,0.828125,True,True,retained_pair
GradDiff,base,74,0,2,retained,0.8268394470214844,0.5203374624252319,-1.484375,-3.078125,0.30650198459625244,1.59375,True,True,retained_pair
GradDiff,base,74,0,3,retained,0.8268394470214844,0.6669068336486816,-1.484375,-2.140625,0.15993261337280273,0.65625,True,True,retained_pair
GradDiff,base,90,3,0,retained,0.7153855562210083,0.14309161901474,-3.2265625,-9.37109375,0.5722939372062683,6.14453125,True,True,retained_pair
GradDiff,base,90,3,1,retained,0.7153855562210083,0.18119393289089203,-3.2265625,-10.63671875,0.5341916233301163,7.41015625,True,True,retained_pair
GradDiff,base,90,3,2,retained,0.7153855562210083,0.26834142208099365,-3.2265625,-7.4375,0.44704413414001465,4.2109375,True,True,retained_pair
GradDiff,base,95,0,1,retained,0.4054298400878906,0.317058801651001,-8.65625,-9.4375,0.08837103843688965,0.78125,True,True,retained_pair
GradDiff,base,95,0,2,retained,0.4054298400878906,0.2991468906402588,-8.65625,-9.83203125,0.10628294944763184,1.17578125,True,True,retained_pair
GradDiff,base,95,0,3,retained,0.4054298400878906,0.33742889761924744,-8.65625,-9.30859375,0.06800094246864319,0.65234375,True,True,retained_pair
GradDiff,base,105,0,1,retained,0.8245635032653809,0.13968567550182343,0.453125,-3.6015625,0.6848778277635574,4.0546875,True,True,retained_pair
GradDiff,base,105,0,2,retained,0.8245635032653809,0.5513387322425842,0.453125,-1.46875,0.27322477102279663,1.921875,True,True,retained_pair
GradDiff,base,105,0,3,retained,0.8245635032653809,0.5837167501449585,0.453125,-1.359375,0.24084675312042236,1.8125,True,True,lucky_pair
GradDiff,base,108,0,1,lucky,0.6704542636871338,0.6030504107475281,-1.9375,-2.15625,0.06740385293960571,0.21875,True,True,retained_pair
GradDiff,base,108,0,2,lucky,0.6704542636871338,0.5473588109016418,-1.9375,-2.3984375,0.12309545278549194,0.4609375,True,True,retained_pair
GradDiff,base,108,0,3,lucky,0.6704542636871338,0.6366562843322754,-1.9375,-2.0859375,0.0337979793548584,0.1484375,True,True,forgotten_pair
GradDiff,base,109,3,0,forgotten,0.471233993768692,0.4171876013278961,-1.8984375,-2.296875,0.0540463924407959,0.3984375,True,True,forgotten_pair
GradDiff,base,109,3,1,forgotten,0.471233993768692,0.3164926767349243,-1.8984375,-2.8984375,0.1547413170337677,1.0,True,True,forgotten_pair
GradDiff,base,109,3,2,forgotten,0.471233993768692,0.2919662296772003,-1.8984375,-2.671875,0.1792677640914917,0.7734375,True,True,retained_pair
GradDiff,base,118,2,0,suppressed,0.5807285308837891,0.23824286460876465,-2.5625,-3.9375,0.3424856662750244,1.375,True,True,hidden_pair
GradDiff,base,118,2,1,suppressed,0.5807285308837891,0.5345365405082703,-2.5625,-2.859375,0.0461919903755188,0.296875,True,True,lucky_pair
GradDiff,base,118,2,3,suppressed,0.5807285308837891,0.22723324596881866,-2.5625,-3.8828125,0.3534952849149704,1.3203125,True,True,hidden_pair
GradDiff,base,137,3,0,suppressed,0.8773126602172852,0.4772387444972992,3.296875,-0.609375,0.40007391571998596,3.90625,True,True,hidden_pair
GradDiff,base,137,3,1,suppressed,0.8773126602172852,0.6131930351257324,3.296875,0.015625,0.26411962509155273,3.28125,True,True,hidden_pair
GradDiff,base,137,3,2,suppressed,0.8773126602172852,0.7043902277946472,3.296875,1.5234375,0.17292243242263794,1.7734375,True,True,hidden_pair
GradDiff,base,145,3,0,retained,0.39886945486068726,0.283237487077713,-3.03125,-3.6328125,0.11563196778297424,0.6015625,True,True,retained_pair
GradDiff,base,145,3,1,retained,0.39886945486068726,0.2616007924079895,-3.03125,-3.5859375,0.13726866245269775,0.5546875,True,True,lucky_pair
GradDiff,base,145,3,2,retained,0.39886945486068726,0.19726161658763885,-3.03125,-4.0234375,0.2016078382730484,0.9921875,True,True,lucky_pair
GradDiff,base,161,3,0,retained,0.3299679160118103,0.041504211723804474,-2.3515625,-6.2890625,0.28846370428800583,3.9375,True,True,retained_pair
GradDiff,base,161,3,1,retained,0.3299679160118103,0.07501519471406937,-2.3515625,-5.4921875,0.25495272129774094,3.140625,True,True,retained_pair
GradDiff,base,161,3,2,retained,0.3299679160118103,0.05004147067666054,-2.3515625,-5.984375,0.27992644533514977,3.6328125,True,True,retained_pair
GradDiff,base,162,3,0,retained,0.6429021954536438,0.1880500167608261,-1.953125,-4.5078125,0.4548521786928177,2.5546875,True,True,retained_pair
GradDiff,base,162,3,1,retained,0.6429021954536438,0.5041957497596741,-1.953125,-2.765625,0.13870644569396973,0.8125,True,True,retained_pair
GradDiff,base,162,3,2,retained,0.6429021954536438,0.1524602174758911,-1.953125,-4.8046875,0.4904419779777527,2.8515625,True,True,retained_pair
GradDiff,base,167,1,0,retained,0.8422287106513977,0.11520210653543472,-0.4140625,-5.4140625,0.727026604115963,5.0,True,True,retained_pair
GradDiff,base,167,1,2,retained,0.8422287106513977,0.1682182401418686,-0.4140625,-3.6171875,0.6740104705095291,3.203125,True,True,retained_pair
GradDiff,base,167,1,3,retained,0.8422287106513977,0.11508729308843613,-0.4140625,-4.109375,0.7271414175629616,3.6953125,True,True,retained_pair
GradDiff,base,172,2,0,suppressed,0.5339958071708679,0.12626725435256958,-2.0859375,-4.1796875,0.40772855281829834,2.09375,True,True,hidden_pair
GradDiff,base,172,2,1,suppressed,0.5339958071708679,0.06312841922044754,-2.0859375,-4.984375,0.4708673879504204,2.8984375,True,True,hidden_pair
GradDiff,base,172,2,3,suppressed,0.5339958071708679,0.3215358555316925,-2.0859375,-2.6640625,0.21245995163917542,0.578125,True,True,hidden_pair
GradDiff,base,174,1,0,retained,0.615991473197937,0.046832721680402756,-2.8359375,-6.59375,0.5691587515175343,3.7578125,True,True,retained_pair
GradDiff,base,174,1,2,retained,0.615991473197937,0.347581148147583,-2.8359375,-3.6015625,0.268410325050354,0.765625,True,True,retained_pair
GradDiff,base,174,1,3,retained,0.615991473197937,0.14009544253349304,-2.8359375,-3.890625,0.47589603066444397,1.0546875,True,True,retained_pair
GradDiff,base,178,2,0,suppressed,0.14266197383403778,0.024641159921884537,-4.203125,-8.984375,0.11802081391215324,4.78125,True,True,forgotten_pair
GradDiff,base,178,2,1,suppressed,0.14266197383403778,0.02834700047969818,-4.203125,-8.203125,0.1143149733543396,4.0,True,True,forgotten_pair
GradDiff,base,178,2,3,suppressed,0.14266197383403778,0.11451458930969238,-4.203125,-5.2421875,0.028147384524345398,1.0390625,True,True,forgotten_pair
GradDiff,base,188,1,0,forgotten,0.2989954948425293,0.16265735030174255,-3.5234375,-3.7109375,0.13633814454078674,0.1875,True,True,forgotten_pair
GradDiff,base,188,1,2,forgotten,0.2989954948425293,0.23418164253234863,-3.5234375,-4.0390625,0.06481385231018066,0.515625,True,True,forgotten_pair
GradDiff,base,188,1,3,forgotten,0.2989954948425293,0.13196101784706116,-3.5234375,-4.546875,0.16703447699546814,1.0234375,True,True,lucky_pair
GradDiff,base,190,2,0,suppressed,0.517595112323761,0.09099280089139938,-2.6796875,-5.65625,0.4266023114323616,2.9765625,True,True,retained_pair
GradDiff,base,190,2,1,suppressed,0.517595112323761,0.03285494074225426,-2.6796875,-5.7890625,0.48474017158150673,3.109375,True,True,hidden_pair
GradDiff,base,190,2,3,suppressed,0.517595112323761,0.05154537782073021,-2.6796875,-5.890625,0.4660497345030308,3.2109375,True,True,hidden_pair
GradDiff,base,191,0,1,retained,0.18233980238437653,0.10703268647193909,-4.71875,-5.0625,0.07530711591243744,0.34375,True,True,retained_pair
GradDiff,base,191,0,2,retained,0.18233980238437653,0.16547732055187225,-4.71875,-5.328125,0.016862481832504272,0.609375,True,True,retained_pair
GradDiff,base,191,0,3,retained,0.18233980238437653,0.08211089670658112,-4.71875,-6.125,0.10022890567779541,1.40625,True,True,retained_pair
GradDiff,base,200,0,1,retained,0.817419707775116,0.007758316118270159,-0.3515625,-9.296875,0.8096613916568458,8.9453125,True,True,retained_pair
GradDiff,base,200,0,2,retained,0.817419707775116,0.022886618971824646,-0.3515625,-8.1640625,0.7945330888032913,7.8125,True,True,retained_pair
GradDiff,base,200,0,3,retained,0.817419707775116,0.00666512968018651,-0.3515625,-10.4453125,0.8107545780949295,10.09375,True,True,hidden_pair
GradDiff,base,205,0,1,suppressed,0.43214845657348633,0.23722156882286072,-3.421875,-4.2109375,0.1949268877506256,0.7890625,True,True,hidden_pair
GradDiff,base,205,0,2,suppressed,0.43214845657348633,0.19878441095352173,-3.421875,-4.5546875,0.2333640456199646,1.1328125,True,True,hidden_pair
GradDiff,base,205,0,3,suppressed,0.43214845657348633,0.10435550659894943,-3.421875,-5.6015625,0.3277929499745369,2.1796875,True,True,hidden_pair
GradDiff,base,207,3,0,suppressed,0.6059812307357788,0.09914106130599976,-3.71875,-4.4921875,0.506840169429779,0.7734375,True,True,hidden_pair
GradDiff,base,207,3,1,suppressed,0.6059812307357788,0.17039240896701813,-3.71875,-5.2890625,0.4355888217687607,1.5703125,True,True,retained_pair
GradDiff,base,207,3,2,suppressed,0.6059812307357788,0.3111407458782196,-3.71875,-4.6015625,0.2948404848575592,0.8828125,True,True,hidden_pair
GradDiff,base,209,0,1,suppressed,0.17922532558441162,0.12025415152311325,-5.15625,-5.5234375,0.05897117406129837,0.3671875,True,True,hidden_pair
GradDiff,base,209,0,2,suppressed,0.17922532558441162,0.061575211584568024,-5.15625,-5.53125,0.1176501139998436,0.375,True,True,retained_pair
GradDiff,base,209,0,3,suppressed,0.17922532558441162,0.06954410672187805,-5.15625,-5.2734375,0.10968121886253357,0.1171875,True,True,hidden_pair
GradDiff,base,216,3,0,retained,0.7901486158370972,0.04496033862233162,-1.0625,-4.9609375,0.7451882772147655,3.8984375,True,True,retained_pair
GradDiff,base,216,3,1,retained,0.7901486158370972,0.021109340712428093,-1.0625,-6.3984375,0.7690392751246691,5.3359375,True,True,retained_pair
GradDiff,base,216,3,2,retained,0.7901486158370972,0.005136963911354542,-1.0625,-8.53125,0.7850116519257426,7.46875,True,True,retained_pair
GradDiff,base,226,3,0,forgotten,0.5378099679946899,0.19959086179733276,-3.109375,-3.6484375,0.3382191061973572,0.5390625,True,True,forgotten_pair
GradDiff,base,226,3,1,forgotten,0.5378099679946899,0.3248869776725769,-3.109375,-3.546875,0.21292299032211304,0.4375,True,True,forgotten_pair
GradDiff,base,226,3,2,forgotten,0.5378099679946899,0.05332430079579353,-3.109375,-5.3828125,0.4844856671988964,2.2734375,True,True,forgotten_pair
GradDiff,base,229,1,0,forgotten,0.6737886667251587,0.33858779072761536,-1.6953125,-3.8671875,0.33520087599754333,2.171875,True,True,hidden_pair
GradDiff,base,229,1,2,forgotten,0.6737886667251587,0.1971854865550995,-1.6953125,-4.828125,0.4766031801700592,3.1328125,True,True,retained_pair
GradDiff,base,229,1,3,forgotten,0.6737886667251587,0.32695358991622925,-1.6953125,-4.0078125,0.34683507680892944,2.3125,True,True,hidden_pair
GradDiff,base,246,1,0,lucky,0.46609917283058167,0.42048272490501404,-2.875,-3.046875,0.04561644792556763,0.171875,True,True,forgotten_pair
GradDiff,base,246,1,2,lucky,0.46609917283058167,0.32135140895843506,-2.875,-3.328125,0.1447477638721466,0.453125,True,True,retained_pair
GradDiff,base,246,1,3,lucky,0.46609917283058167,0.3254459500312805,-2.875,-3.578125,0.14065322279930115,0.703125,True,True,lucky_pair
GradDiff,base,247,0,1,retained,0.7097223997116089,0.537045955657959,-1.7890625,-2.2578125,0.1726764440536499,0.46875,True,True,retained_pair
GradDiff,base,247,0,2,retained,0.7097223997116089,0.1436721235513687,-1.7890625,-4.7421875,0.5660502761602402,2.953125,True,True,hidden_pair
GradDiff,base,247,0,3,retained,0.7097223997116089,0.45232003927230835,-1.7890625,-2.8671875,0.25740236043930054,1.078125,True,True,retained_pair
GradDiff,base,256,0,1,retained,0.27985525131225586,0.29923248291015625,-3.7265625,-3.984375,-0.01937723159790039,0.2578125,False,True,lucky_pair
GradDiff,base,256,0,2,retained,0.27985525131225586,0.33608153462409973,-3.7265625,-3.9453125,-0.05622628331184387,0.21875,False,True,retained_pair
GradDiff,base,256,0,3,retained,0.27985525131225586,0.19865305721759796,-3.7265625,-3.96875,0.0812021940946579,0.2421875,True,True,retained_pair
