method,pair_outcome,count,proportion
ELM,forgotten_pair,97,0.10532030401737243
ELM,hidden_pair,223,0.24212812160694897
ELM,lucky_pair,100,0.10857763300760044
ELM,retained_pair,501,0.5439739413680782
GradDiff,forgotten_pair,70,0.07600434310532031
GradDiff,hidden_pair,211,0.2290988056460369
GradDiff,lucky_pair,39,0.04234527687296417
GradDiff,retained_pair,601,0.6525515743756786
PB_J,forgotten_pair,154,0.16720955483170466
PB_J,hidden_pair,200,0.21715526601520088
PB_J,lucky_pair,146,0.15852334419109662
PB_J,retained_pair,421,0.4571118349619978
RMU-LAT,forgotten_pair,136,0.1476655808903366
RMU-LAT,hidden_pair,163,0.1769815418023887
RMU-LAT,lucky_pair,149,0.16178067318132464
RMU-LAT,retained_pair,473,0.5135722041259501
RR,forgotten_pair,102,0.11074918566775244
RR,hidden_pair,191,0.20738327904451684
RR,lucky_pair,124,0.13463626492942454
RR,retained_pair,504,0.5472312703583062
RepNoise,forgotten_pair,111,0.12052117263843648
RepNoise,hidden_pair,347,0.3767643865363735
RepNoise,lucky_pair,84,0.09120521172638436
RepNoise,retained_pair,379,0.41150922909880566
TAR,forgotten_pair,115,0.1248642779587405
TAR,hidden_pair,254,0.2757871878393051
TAR,lucky_pair,72,0.0781758957654723
TAR,retained_pair,480,0.5211726384364821
