method,pair_outcome,mean_base_internal_margin_pair,mean_base_external_margin_pair,mean_ck8_internal_margin_pair,mean_ck8_external_margin_pair,mean_internal_margin_survival,mean_external_margin_drop,mean_access_suppression_index,n
ELM,forgotten_pair,0.39566319098590497,3.0314513530927836,-0.04262377006798675,-0.7831829896907216,-0.43828696105389175,-3.814634342783505,3.3763473817296132,97
ELM,hidden_pair,0.39899250522523183,3.343189461883408,0.060488696957650204,-0.5040639013452914,-0.33850380826758164,-3.8472533632286994,3.508749554961118,223
ELM,lucky_pair,0.33167641825973987,2.60125,-0.027656561508774758,0.453125,-0.35933297976851464,-2.148125,1.7887920202314853,100
ELM,retained_pair,0.48565520779875676,4.203662986526946,0.10767406736037688,0.8548372005988024,-0.3779811404383799,-3.3488257859281436,2.970844645489764,501
GradDiff,forgotten_pair,0.2487213744249727,1.6959821428571429,-0.021134675187723977,-0.1257603236607143,-0.26985604961269666,-1.8217424665178572,1.5518864169051605,70
GradDiff,hidden_pair,0.40879385373047533,3.0546504739336493,0.03677553962474751,-0.061097637736966824,-0.3720183141057278,-3.1157481116706163,2.7437297975648884,211
GradDiff,lucky_pair,0.28499927775313455,2.3135016025641026,-0.011005289661578642,0.18285506810897437,-0.2960045674147132,-2.130646534455128,1.834641967040415,39
GradDiff,retained_pair,0.48095605315267886,4.246698211314476,0.06706128166539102,0.27429219529950083,-0.4138947714872878,-3.972406016014975,3.558511244527687,601
PB_J,forgotten_pair,0.3732062968525237,3.0953733766233764,-0.09659845060245557,-1.2932168539468345,-0.4698047474549793,-4.388590230570211,3.9187854831152316,154
PB_J,hidden_pair,0.4774131678813137,3.70703125,0.14795582981780173,-1.3470938110351562,-0.329457338063512,-5.0541250610351565,4.7246677229716445,200
PB_J,lucky_pair,0.42534542805196285,3.159594392123288,-0.09273063605778838,1.4944986839816994,-0.5180760641097513,-1.6650957081415882,1.147019644031837,146
PB_J,retained_pair,0.4484055186148994,4.1005882571258905,0.20075294943061833,2.141791481869804,-0.24765256918428108,-1.9587967752560866,1.7111442060718056,421
RMU-LAT,forgotten_pair,0.38462717006298003,3.0881491268382355,-0.061421442982357216,-0.5410443474264706,-0.4460486130453372,-3.629193474264706,3.1831448612193687,136
RMU-LAT,hidden_pair,0.39463079699023734,2.9959499616564416,0.10040598755782368,-0.5703933809432515,-0.2942248094324137,-3.5663433425996933,3.2721185331672795,163
RMU-LAT,lucky_pair,0.4031827031375353,3.15234375,-0.055782793352267886,0.5674221371644296,-0.45896549648980317,-2.5849216128355703,2.125956116345767,149
RMU-LAT,retained_pair,0.4801844002506213,4.2869235597251585,0.12210212591011668,1.102146785808668,-0.35808227434050466,-3.1847767739164903,2.8266944995759857,473
RR,forgotten_pair,0.3694575374361639,3.507467830882353,-0.07124346808767786,-1.2694953469669117,-0.4407010055238418,-4.7769631778492645,4.336262172325423,102
RR,hidden_pair,0.4305249767863138,3.273396596858639,0.09071042474495802,-1.0828611363915248,-0.3398145520413558,-4.356257733250164,4.016443181208808,191
RR,lucky_pair,0.4609974102349952,3.828030493951613,-0.06706217688418203,1.4965485911215506,-0.5280595871191772,-2.3314819028300624,1.803422315710885,124
RR,retained_pair,0.449914565218644,3.8652498759920637,0.16547889439463023,1.9932133773016552,-0.2844356708240137,-1.8720364986904083,1.5876008278663947,504
RepNoise,forgotten_pair,0.3844290329688774,3.4063203828828827,-0.040156016814279126,-0.20724239864864866,-0.42458504978315653,-3.6135627815315314,3.188977731748375,111
RepNoise,hidden_pair,0.4788725572357743,3.8565269272334293,0.09604517913689187,-0.4093795028818444,-0.38282737809888245,-4.265906430115273,3.883079052016391,347
RepNoise,lucky_pair,0.405783448595598,3.312406994047619,-0.036588238640910105,0.19198753720238096,-0.4423716872365081,-3.120419456845238,2.67804776960873,84
RepNoise,retained_pair,0.42456292723382927,3.7234395613456464,0.10041101327003779,0.3127782816622691,-0.3241519139637915,-3.4106612796833775,3.0865093657195857,379
TAR,forgotten_pair,0.3527403105009833,2.8653872282608694,-0.07135619365650675,-0.25975428042204485,-0.42409650415749006,-3.125141508682914,2.701045004525424,115
TAR,hidden_pair,0.43975185192058114,3.491480068897638,0.11759160480674678,-0.2056012867003914,-0.32216024711383434,-3.697081355598029,3.374921108484195,254
TAR,lucky_pair,0.37909326859517023,3.2022569444444446,-0.050170439295470715,0.19040364689297146,-0.42926370789064094,-3.011853297551473,2.582589589660832,72
TAR,retained_pair,0.4672473701869118,4.0808837890625,0.18246825724102866,0.27497489949067433,-0.28477911294588315,-3.8059088895718256,3.5211297766259424,480
