method,metric,n_retained,n_suppressed,mean_retained,mean_suppressed,diff_supp_minus_ret,cohens_d,p_value,sig
GradDiff,mid_auc,216,69,0.8476,0.805,-0.0427,-0.291,0.012117937782389936,*
GradDiff,late_auc,216,69,0.8497,0.7959,-0.0538,-0.349,0.00786110231423342,**
GradDiff,ext_drop,216,69,0.0278,0.0918,0.064,0.587,1.8709612943310646e-05,***
GradDiff,int_ext_gap_ck8,216,69,-0.0949,-0.0835,0.0114,0.073,0.4906201068394561,ns
RMU,mid_auc,149,60,0.8104,0.7484,-0.0619,-0.409,0.0007712244985058881,***
RMU,late_auc,149,60,0.8028,0.7154,-0.0874,-0.537,0.00010408460198668723,***
RMU,ext_drop,149,60,0.0805,0.1722,0.0917,0.609,6.05665605924156e-05,***
RMU,int_ext_gap_ck8,149,60,-0.1454,-0.1205,0.0249,0.125,0.24781744214272627,ns
RMU-LAT,mid_auc,153,57,0.8276,0.7439,-0.0837,-0.516,0.0008128898959537104,***
RMU-LAT,late_auc,153,57,0.804,0.7214,-0.0826,-0.457,0.0007644782425721984,***
RMU-LAT,ext_drop,153,57,0.0937,0.1637,0.0701,0.451,0.0021530540299843303,**
RMU-LAT,int_ext_gap_ck8,153,57,-0.1134,-0.0949,0.0184,0.085,0.4831938028526092,ns
RepNoise,mid_auc,123,106,0.8682,0.8372,-0.031,-0.231,0.06358894211859861,ns
RepNoise,late_auc,123,106,0.8748,0.8406,-0.0342,-0.256,0.050661783914121905,ns
RepNoise,ext_drop,123,106,0.0921,0.0975,0.0053,0.035,0.3949626427368946,ns
RepNoise,int_ext_gap_ck8,123,106,-0.0751,-0.1097,-0.0346,-0.166,0.9118151047424852,ns
ELM,mid_auc,172,79,0.8567,0.82,-0.0367,-0.251,0.0057786523210364175,**
ELM,late_auc,172,79,0.8777,0.8337,-0.044,-0.293,0.024287978048702162,*
ELM,ext_drop,172,79,0.062,0.1266,0.0646,0.457,0.0004890483593259926,***
ELM,int_ext_gap_ck8,172,79,-0.1223,-0.1046,0.0177,0.088,0.6666324772106016,ns
RR,mid_auc,175,66,0.8049,0.7803,-0.0246,-0.169,0.09257712047921579,ns
RR,late_auc,175,66,0.7802,0.7586,-0.0216,-0.142,0.1175618940410027,ns
RR,ext_drop,175,66,0.099,0.1263,0.0272,0.175,0.11345339072409205,ns
RR,int_ext_gap_ck8,175,66,-0.1014,-0.1419,-0.0406,-0.215,0.944123245019575,ns
TAR,mid_auc,165,86,0.7923,0.777,-0.0153,-0.096,0.1746120210143967,ns
TAR,late_auc,165,86,0.8208,0.8008,-0.02,-0.114,0.10196434167486218,ns
TAR,ext_drop,165,86,0.0667,0.124,0.0574,0.398,0.0016060108520003188,**
TAR,int_ext_gap_ck8,165,86,-0.1436,-0.1099,0.0337,0.171,0.13366366209816383,ns
PB_J,mid_auc,143,63,0.8103,0.8158,0.0055,0.043,0.484318148747378,ns
PB_J,late_auc,143,63,0.8164,0.8139,-0.0025,-0.02,0.31671634788028635,ns
PB_J,ext_drop,143,63,0.0839,0.1376,0.0537,0.354,0.0103533718265075,*
PB_J,int_ext_gap_ck8,143,63,-0.1528,-0.1033,0.0495,0.244,0.031036708330091353,*
