task,seed,C,roc_auc
suppressed_vs_forgotten,0,0.001,0.6062929734427319
suppressed_vs_forgotten,0,0.01,0.6020499450451141
suppressed_vs_forgotten,0,0.1,0.5981328119009278
suppressed_vs_forgotten,0,0.5,0.5962988523374997
suppressed_vs_forgotten,0,1.0,0.5959793471870767
suppressed_vs_forgotten,0,2.0,0.5956215014186028
suppressed_vs_forgotten,0,5.0,0.5952253150320783
suppressed_vs_forgotten,0,10.0,0.5951614140019936
suppressed_vs_forgotten,0,100.0,0.5950975129719092
suppressed_vs_forgotten,1,0.001,0.6089991820668149
suppressed_vs_forgotten,1,0.01,0.6077211614651228
suppressed_vs_forgotten,1,0.1,0.6044685990338164
suppressed_vs_forgotten,1,0.5,0.6027304910155152
suppressed_vs_forgotten,1,1.0,0.6022384530838637
suppressed_vs_forgotten,1,2.0,0.6017783656672545
suppressed_vs_forgotten,1,5.0,0.6015419318559415
suppressed_vs_forgotten,1,10.0,0.6015163714439076
suppressed_vs_forgotten,1,100.0,0.6014205198987808
suppressed_vs_forgotten,2,0.001,0.6094560744319198
suppressed_vs_forgotten,2,0.01,0.6073281701301025
suppressed_vs_forgotten,2,0.1,0.6068041816834088
suppressed_vs_forgotten,2,0.5,0.6062099021036218
suppressed_vs_forgotten,2,1.0,0.6062162922066303
suppressed_vs_forgotten,2,2.0,0.6062418526186643
suppressed_vs_forgotten,2,5.0,0.6062610229276896
suppressed_vs_forgotten,2,10.0,0.606267413030698
suppressed_vs_forgotten,2,100.0,0.6062099021036219
suppressed_vs_forgotten,3,0.001,0.6104465403982312
suppressed_vs_forgotten,3,0.01,0.611373105334458
suppressed_vs_forgotten,3,0.1,0.6110599902870435
suppressed_vs_forgotten,3,0.5,0.6104337601922143
suppressed_vs_forgotten,3,1.0,0.6101781560718758
suppressed_vs_forgotten,3,2.0,0.6101206451447998
suppressed_vs_forgotten,3,5.0,0.6099481123635713
suppressed_vs_forgotten,3,10.0,0.6099481123635713
suppressed_vs_forgotten,3,100.0,0.6098650410244613
suppressed_vs_forgotten,4,0.001,0.6088042839250568
suppressed_vs_forgotten,4,0.01,0.6082355647573039
suppressed_vs_forgotten,4,0.1,0.6053664085065051
suppressed_vs_forgotten,4,0.5,0.6036666411062547
suppressed_vs_forgotten,4,1.0,0.6034238171919332
suppressed_vs_forgotten,4,2.0,0.60310431204151
suppressed_vs_forgotten,4,5.0,0.6030404110114256
suppressed_vs_forgotten,4,10.0,0.6029892901873577
suppressed_vs_forgotten,4,100.0,0.6029189990542647
suppressed_vs_forgotten,5,0.001,0.613357232318585
suppressed_vs_forgotten,5,0.01,0.6145074508601078
suppressed_vs_forgotten,5,0.1,0.6153062137361653
suppressed_vs_forgotten,5,0.5,0.6142518467397695
suppressed_vs_forgotten,5,1.0,0.614066533752524
suppressed_vs_forgotten,5,2.0,0.6140601436495156
suppressed_vs_forgotten,5,5.0,0.6139451217953633
suppressed_vs_forgotten,5,10.0,0.6139323415893465
suppressed_vs_forgotten,5,100.0,0.6138940009712957
suppressed_vs_forgotten,6,0.001,0.6095966566981059
suppressed_vs_forgotten,6,0.01,0.6092963218567082
suppressed_vs_forgotten,6,0.1,0.6102931779260281
suppressed_vs_forgotten,6,0.5,0.6096413874191651
suppressed_vs_forgotten,6,1.0,0.6096861181402244
suppressed_vs_forgotten,6,2.0,0.6096988983462414
suppressed_vs_forgotten,6,5.0,0.6096669478311991
suppressed_vs_forgotten,6,10.0,0.6096988983462414
suppressed_vs_forgotten,6,100.0,0.6096733379342074
suppressed_vs_forgotten,7,0.001,0.6124658129489047
suppressed_vs_forgotten,7,0.01,0.6112325230682718
suppressed_vs_forgotten,7,0.1,0.6092515911356491
suppressed_vs_forgotten,7,0.5,0.6084336579505661
suppressed_vs_forgotten,7,1.0,0.608197224139253
suppressed_vs_forgotten,7,2.0,0.6083122459934054
suppressed_vs_forgotten,7,5.0,0.6082739053753548
suppressed_vs_forgotten,7,10.0,0.6082611251693377
suppressed_vs_forgotten,7,100.0,0.60829307568438
suppressed_vs_forgotten,8,0.001,0.6019413132939703
suppressed_vs_forgotten,8,0.01,0.5992830304424507
suppressed_vs_forgotten,8,0.1,0.5943115303018685
suppressed_vs_forgotten,8,0.5,0.591889681261662
suppressed_vs_forgotten,8,1.0,0.591225110548782
suppressed_vs_forgotten,8,2.0,0.5909695064284436
