feature_a,feature_b,pearson_r,abs_r
min_pairwise_sigmoid_margin,min_probe_probability_margin,0.7928,0.7928
mean_kint_layers,std_kint_layers,-0.7338,0.7338
correct_option_confidence,min_probe_probability_margin,0.6607,0.6607
earliest_layer_kint1,std_kint_layers,0.5617,0.5617
min_pairwise_sigmoid_margin,correct_option_confidence,0.5242,0.5242
earliest_layer_kint1,mean_kint_layers,-0.4836,0.4836
mean_kint_layers,min_probe_probability_margin,0.4712,0.4712
min_pairwise_sigmoid_margin,mean_kint_layers,0.4139,0.4139
max_distractor_confidence,correct_option_confidence,0.3642,0.3642
std_kint_layers,min_probe_probability_margin,-0.2838,0.2838
correct_option_confidence,mean_kint_layers,0.2307,0.2307
min_pairwise_sigmoid_margin,std_kint_layers,-0.2123,0.2123
max_distractor_confidence,min_probe_probability_margin,-0.202,0.202
earliest_layer_kint1,min_probe_probability_margin,-0.2017,0.2017
min_pairwise_sigmoid_margin,earliest_layer_kint1,-0.1364,0.1364
min_pairwise_sigmoid_margin,max_distractor_confidence,-0.1322,0.1322
correct_option_confidence,std_kint_layers,-0.1316,0.1316
max_distractor_confidence,rank_alignment,0.1003,0.1003
correct_option_confidence,earliest_layer_kint1,-0.0897,0.0897
max_distractor_confidence,mean_kint_layers,-0.0652,0.0652
max_distractor_confidence,std_kint_layers,0.0578,0.0578
correct_option_confidence,rank_alignment,0.0506,0.0506
mean_kint_layers,rank_alignment,0.044,0.044
earliest_layer_kint1,rank_alignment,-0.0357,0.0357
min_probe_probability_margin,rank_alignment,-0.0203,0.0203
std_kint_layers,rank_alignment,0.0044,0.0044
max_distractor_confidence,earliest_layer_kint1,-0.0015,0.0015
min_pairwise_sigmoid_margin,rank_alignment,0.0008,0.0008
