target,model,r2_mean,r2_std,spearman_rho
mid_traj_auc,Ridge,0.4433,0.0343,0.6589
mid_traj_auc,Lasso,0.4321,0.0313,0.6591
mid_traj_auc,ElasticNet,0.4397,0.033,0.6613
mid_traj_auc,RF,0.5624,0.0313,0.7564
mid_traj_auc,HGB,0.5621,0.0319,0.7556
late_traj_auc,Ridge,0.3027,0.0425,0.5482
late_traj_auc,Lasso,0.2966,0.0374,0.5473
late_traj_auc,ElasticNet,0.3009,0.0396,0.5488
late_traj_auc,RF,0.393,0.0388,0.6264
late_traj_auc,HGB,0.3931,0.0398,0.6266
mid_ck8,Ridge,0.2278,0.0309,0.4917
mid_ck8,Lasso,0.2231,0.0282,0.4922
mid_ck8,ElasticNet,0.2263,0.03,0.4938
mid_ck8,RF,0.2644,0.0404,0.5552
mid_ck8,HGB,0.2649,0.0402,0.5554
ext_drop,Ridge,0.0412,0.0223,0.2173
ext_drop,Lasso,0.0425,0.0185,0.2216
ext_drop,ElasticNet,0.043,0.0204,0.2227
ext_drop,RF,-0.0219,0.0472,0.2727
ext_drop,HGB,-0.0219,0.0464,0.2752
int_ext_gap_ck8,Ridge,-0.0015,0.0099,0.0842
int_ext_gap_ck8,Lasso,0.0015,0.0052,0.1028
int_ext_gap_ck8,ElasticNet,0.0013,0.0071,0.1004
int_ext_gap_ck8,RF,-0.1465,0.047,0.0679
int_ext_gap_ck8,HGB,-0.1463,0.0454,0.069
