method,question_idx,subset,t_ext_drop,t_int_drop,ext_censored,int_censored,suppression_lag
GradDiff,3,retained,4,0,False,False,-4
GradDiff,17,suppressed,3,9,False,True,6
GradDiff,26,retained,3,3,False,False,0
GradDiff,34,retained,3,9,False,True,6
GradDiff,39,retained,4,9,False,True,5
GradDiff,41,retained,3,2,False,False,-1
GradDiff,46,suppressed,1,5,False,False,4
GradDiff,57,retained,4,2,False,False,-2
GradDiff,59,retained,4,4,False,False,0
GradDiff,63,retained,3,9,False,True,6
GradDiff,67,retained,9,2,True,False,-7
GradDiff,68,retained,3,9,False,True,6
GradDiff,74,retained,9,9,True,True,0
GradDiff,90,retained,9,9,True,True,0
GradDiff,95,retained,9,3,True,False,-6
GradDiff,105,retained,3,3,False,False,0
GradDiff,108,lucky,1,1,False,False,0
GradDiff,109,forgotten,5,3,False,False,-2
GradDiff,118,suppressed,6,1,False,False,-5
GradDiff,137,suppressed,2,9,False,True,7
GradDiff,145,retained,3,1,False,False,-2
GradDiff,161,retained,9,9,True,True,0
GradDiff,162,retained,5,9,False,True,4
GradDiff,167,retained,9,9,True,True,0
GradDiff,172,suppressed,2,2,False,False,0
GradDiff,174,retained,3,9,False,True,6
GradDiff,178,suppressed,1,9,False,True,8
GradDiff,188,forgotten,1,9,False,True,8
GradDiff,190,suppressed,8,9,False,True,1
GradDiff,191,retained,3,1,False,False,-2
GradDiff,200,retained,3,9,False,True,6
GradDiff,205,suppressed,5,9,False,True,4
GradDiff,207,suppressed,1,9,False,True,8
GradDiff,209,suppressed,3,3,False,False,0
GradDiff,216,retained,9,9,True,True,0
GradDiff,226,forgotten,4,3,False,False,-1
GradDiff,229,forgotten,3,0,False,False,-3
GradDiff,246,lucky,1,9,False,True,8
GradDiff,247,retained,6,9,False,True,3
GradDiff,256,retained,5,0,False,False,-5
GradDiff,298,lucky,3,2,False,False,-1
GradDiff,308,retained,4,3,False,False,-1
GradDiff,314,retained,9,9,True,True,0
GradDiff,317,suppressed,5,9,False,True,4
GradDiff,329,retained,4,4,False,False,0
