method,subset,n,mean_t_ext_drop,mean_t_int_drop,mean_suppression_lag,ext_censored_rate,int_censored_rate
ELM,forgotten,26,4.115384615384615,6.730769230769231,2.6153846153846154,0.0,0.5384615384615384
ELM,lucky,30,7.6,5.6,-2.0,0.7333333333333333,0.4
ELM,retained,172,7.569767441860465,8.151162790697674,0.5813953488372093,0.7267441860465116,0.8430232558139535
ELM,suppressed,79,4.7974683544303796,7.3924050632911396,2.5949367088607596,0.0,0.7468354430379747
GradDiff,forgotten,17,3.235294117647059,3.823529411764706,0.5882352941176471,0.0,0.17647058823529413
GradDiff,lucky,5,1.8,4.8,3.0,0.0,0.4
GradDiff,retained,216,4.851851851851852,7.435185185185185,2.5833333333333335,0.25462962962962965,0.7546296296296297
GradDiff,suppressed,69,3.449275362318841,6.826086956521739,3.3768115942028984,0.0,0.6376811594202898
PB_J,forgotten,54,4.814814814814815,5.351851851851852,0.5370370370370371,0.0,0.24074074074074073
PB_J,lucky,47,4.914893617021277,6.1063829787234045,1.1914893617021276,0.1702127659574468,0.2127659574468085
PB_J,retained,143,6.5174825174825175,7.314685314685315,0.7972027972027972,0.46153846153846156,0.6573426573426573
PB_J,suppressed,63,4.174603174603175,7.26984126984127,3.0952380952380953,0.0,0.5873015873015873
RMU-LAT,forgotten,40,2.075,5.8,3.725,0.0,0.475
RMU-LAT,lucky,57,4.771929824561403,4.964912280701754,0.19298245614035087,0.40350877192982454,0.38596491228070173
RMU-LAT,retained,153,5.777777777777778,7.686274509803922,1.908496732026144,0.5359477124183006,0.7908496732026143
RMU-LAT,suppressed,57,2.280701754385965,6.192982456140351,3.912280701754386,0.0,0.5789473684210527
RR,forgotten,29,3.1379310344827585,5.310344827586207,2.1724137931034484,0.0,0.4482758620689655
RR,lucky,37,3.7027027027027026,6.108108108108108,2.4054054054054053,0.13513513513513514,0.40540540540540543
RR,retained,175,4.148571428571429,7.16,3.0114285714285716,0.2342857142857143,0.68
RR,suppressed,66,2.6818181818181817,6.803030303030303,4.121212121212121,0.0,0.5909090909090909
RepNoise,forgotten,44,5.840909090909091,7.454545454545454,1.6136363636363635,0.0,0.6136363636363636
RepNoise,lucky,34,6.147058823529412,6.235294117647059,0.08823529411764706,0.3235294117647059,0.5
RepNoise,retained,123,7.357723577235772,8.373983739837398,1.016260162601626,0.6260162601626016,0.8617886178861789
RepNoise,suppressed,106,6.19811320754717,8.150943396226415,1.9528301886792452,0.0,0.8018867924528302
TAR,forgotten,35,2.342857142857143,4.942857142857143,2.6,0.0,0.37142857142857144
TAR,lucky,21,4.476190476190476,4.285714285714286,-0.19047619047619047,0.38095238095238093,0.2857142857142857
TAR,retained,165,6.242424242424242,6.884848484848485,0.6424242424242425,0.6060606060606061,0.6909090909090909
TAR,suppressed,86,2.5930232558139537,6.627906976744186,4.034883720930233,0.0,0.6395348837209303
