model,checkpoint,fold,probe_type,classifier,probe_variant,remains,unlearned,emerged,never_known,total
GradDiff,ck8,single,per_layer,LR,frozen_base,366,372,194,214,1146
GradDiff,ck8,single,per_layer,LR,method_probe,467,271,191,217,1146
GradDiff,ck8,single,per_layer,RF,frozen_base,350,377,222,197,1146
GradDiff,ck8,single,per_layer,RF,method_probe,459,268,180,239,1146
GradDiff,ck8,single,per_layer,AdaBoost,frozen_base,351,375,222,198,1146
GradDiff,ck8,single,per_layer,AdaBoost,method_probe,434,292,214,206,1146
GradDiff,ck8,single,mid_band,LR,frozen_base,410,379,167,190,1146
GradDiff,ck8,single,mid_band,LR,method_probe,561,228,141,216,1146
GradDiff,ck8,single,mid_band,RF,frozen_base,365,354,210,217,1146
GradDiff,ck8,single,mid_band,RF,method_probe,434,285,202,225,1146
GradDiff,ck8,single,mid_band,AdaBoost,frozen_base,349,368,224,205,1146
GradDiff,ck8,single,mid_band,AdaBoost,method_probe,426,291,224,205,1146
GradDiff,ck8,single,full_layer,LR,frozen_base,381,376,191,198,1146
GradDiff,ck8,single,full_layer,LR,method_probe,545,212,147,242,1146
GradDiff,ck8,single,full_layer,RF,frozen_base,374,335,197,240,1146
GradDiff,ck8,single,full_layer,RF,method_probe,431,278,206,231,1146
GradDiff,ck8,single,full_layer,AdaBoost,frozen_base,339,372,235,200,1146
GradDiff,ck8,single,full_layer,AdaBoost,method_probe,418,293,209,226,1146
GradDiff,ck8,single,init_band,LR,frozen_base,600,75,61,410,1146
GradDiff,ck8,single,init_band,LR,method_probe,612,63,60,411,1146
GradDiff,ck8,single,init_band,RF,frozen_base,298,332,273,243,1146
GradDiff,ck8,single,init_band,RF,method_probe,406,224,220,296,1146
GradDiff,ck8,single,init_band,AdaBoost,frozen_base,350,273,232,291,1146
GradDiff,ck8,single,init_band,AdaBoost,method_probe,400,223,227,296,1146
GradDiff,ck8,single,init_band_emb,LR,frozen_base,600,75,61,410,1146
GradDiff,ck8,single,init_band_emb,LR,method_probe,612,63,60,411,1146
GradDiff,ck8,single,init_band_emb,RF,frozen_base,305,325,275,241,1146
GradDiff,ck8,single,init_band_emb,RF,method_probe,407,223,222,294,1146
GradDiff,ck8,single,init_band_emb,AdaBoost,frozen_base,394,243,194,315,1146
GradDiff,ck8,single,init_band_emb,AdaBoost,method_probe,404,233,233,276,1146
GradDiff,ck8,single,end_band,LR,frozen_base,394,372,182,198,1146
GradDiff,ck8,single,end_band,LR,method_probe,493,273,182,198,1146
GradDiff,ck8,single,end_band,RF,frozen_base,367,333,185,261,1146
